qqWords	WordID	Faces	FaceID	Scenes	SceneID	Objects	ObjectID
qqcalm	word1	qqAdam_Levine	face1	qqAlcatraz	scene1	qqBaby_Bottle	object1
qqdiamond	word2	qqBarack_Obama	face2	qqAmazon	scene2	qqBowling_Ball	object2
qqdrop	word3	qqBen_Affleck	face3	qqAmsterdam	scene3	qqBroom	object3
qqhoney	word4	qqBeyonce	face4	qqAppalachian	scene4	qqBucket	object4
qqinjure	word5	qqBill_Clinton	face5	qqArc_De_Triomphe	scene5	qqCalculator	object5
qqnauseous	word6	qqBill_Gates	face6	qqArlington_Cemetary	scene6	qqCamera	object6
qqpolite	word7	qqBrad_Pitt	face7	qqAtlantic_City	scene7	qqCane	object7
qqrecipe	word8	qqBradley_Cooper	face8	qqBerlin_Wall	scene8	qqChapstick	object8
qqsurround	word9	qqBritney_Spears	face9	qqBig_Ben	scene9	qqCoat_Hanger	object9
qqtickle	word10	qqBruce_Willis	face10	qqBrooklyn_Bridge	scene10	qqCoffee_Pot	object10
qqtornado	word11	qqCameron_Diaz	face11	qqBuckingham_Palace	scene11	qqComb	object11
qqtrap	word12	qqCate_Blanchett	face12	qqCape_Cod	scene12	qqCrowbar	object12
qqadrenelin	word13	qqChristina_Aguilera	face13	qqCape_Of_Good_Hope	scene13	qqDrill	object13
qqdecay	word14	qqClint_Eastwood	face14	qqChrysler_Building	scene14	qqDrum	object14
qqgreedy	word15	qqDaniel_Craig	face15	qqColorado_River	scene15	qqEraser	object15
qqmad	word16	qqDaniel_Radcliffe	face16	qqColosseum	scene16	qqFaucet	object16
qqorbit	word17	qqDavid_Letterman	face17	qqDead_Sea	scene17	qqFlashlight	object17
qqozone	word18	qqDemi_Moore	face18	qqDeath_Valley	scene18	qqFork	object18
qqpasture	word19	qqEddie_Murphy	face19	qqDisney_World	scene19	qqFrisbee	object19
qqpurge	word20	qqElton_John	face20	qqDubai	scene20	qqFrying_Pan	object20
qqspeech	word21	qqEmma_Watson	face21	qqEiffel_Tower	scene21	qqGolf_Club	object21
qqsteal	word22	qqGeorge_Bush	face22	qqEpcot	scene22	qqGrater	object22
qqwarp	word23	qqGeorge_Clooney	face23	qqGolden_Gate_Bridge	scene23	qqGuitar	object23
qqacid	word24	qqGwen_Stefani	face24	qqGrand_Central_Station	scene24	qqHammer	object24
qqcarnival	word25	qqHalle_Berry	face25	qqGreat_Barrier_Reef	scene25	qqHand_Cuffs	object25
qqdiscover	word26	qqHeidi_Klum	face26	qqGreat_Pyramids	scene26	qqIron	object26
qqflavor	word27	qqHillary_Clinton	face27	qqGreat_Wall_Of_China	scene27	qqJoystick	object27
qqgravity	word28	qqHugh_Grant	face28	qqGuggenheim_Museum	scene28	qqJuicer	object28
qqhyper	word29	qqJennifer_Lopez	face29	qqHawaii	scene29	qqKeys	object29
qqincense	word30	qqJerry_Seinfeld	face30	qqHoover_Dam	scene30	qqKnife	object30
qqketchup	word31	qqJim_Carrey	face31	qqLas_Vegas	scene31	qqLighter	object31
qqlegalize	word32	qqJon_Stewart	face32	qqLondon_Bridge	scene32	qqLock	object32
qqpalette	word33	qqJohnny_Depp	face33	qqMadison_Square_Garden	scene33	qqBook	object33
qqretire	word34	qqJulia_Roberts	face34	qqMiami_Beach	scene34	qqMicrophone	object34
qqtrapeze	word35	qqJustin_Bieber	face35	qqMississippi_River	scene35	qqMixer	object35
qqannoy	word36	qqJustin_Timberlake	face36	qqMount_Everest	scene36	qqMug	object36
qqflour	word37	qqKanye_West	face37	qqNiagara_Falls	scene37	qqNail_Clipper	object37
qqfly	word38	qqKeira_Knightley	face38	qqNile_River	scene38	qqPaintbrush	object38
qqgraduate	word39	qqKevin_Bacon	face39	qqNorth_Pole	scene39	qqPaper_Clip	object39
qqgrinch	word40	qqKobe_Bryant	face40	qqOxford_University	scene40	qqPeeler	object40
qqhide	word41	qqLeonardo_Dicaprio	face41	qqPalace_Of_Versailles	scene41	qqPencil	object41
qqlimousine	word42	qqMadonna	face42	qqPentagon	scene42	qqPepper_Mill	object42
qqpirate	word43	qqMariah_Carey	face43	qqPompeii	scene43	qqPipe	object43
qqscoop	word44	qqMarilyn_Monroe	face44	qqRadio_City_Music_Hall	scene44	qqPizza_Cutter	object44
